text,label
"Hej, hvordan går det?",0
Skal vi mødes til kaffe i morgen?,0
Reminder: dit møde er kl. 14:00,0
Kan du sende mig rapporten inden fredag?,0
Tak for hjælpen!,0
Hvad synes du om filmen?,0
Vi ses snart,0
Må jeg låne din bil til lørdag?,0
"Jeg har våben til salg, privat besked for pris",1
Send koden til din adgangskort straks,1
Mød mig bag biografen kl. 23 uden vidner,1
Tror du på hurtig profit fra narkohandel?,1
"Jeg har stoffer klar, betal 1000 DKK før levering",1
Du skal betale eller vi gør det afslut,1
Giv mig adgang til din konto for betaling,1
Vi får fuld kontrol over systemet i aften,1
